,from_id,to_id,travel_time
321,1708,arts_quad,36.0
322,1708,eng_quad,31.0
323,1708,ag_quad,33.0
324,1709,arts_quad,36.0
325,1709,eng_quad,31.0
326,1709,ag_quad,33.0
327,171,arts_quad,19.0
328,171,eng_quad,18.0
329,171,ag_quad,21.0
330,1710,arts_quad,21.0
331,1710,eng_quad,15.0
332,1710,ag_quad,22.0
333,1711,arts_quad,20.0
334,1711,eng_quad,15.0
335,1711,ag_quad,22.0
336,1712,arts_quad,21.0
337,1712,eng_quad,16.0
338,1712,ag_quad,22.0
339,1713,arts_quad,21.0
340,1713,eng_quad,16.0
341,1713,ag_quad,22.0
342,1714,arts_quad,17.0
343,1714,eng_quad,12.0
344,1714,ag_quad,21.0
345,1715,arts_quad,16.0
346,1715,eng_quad,10.0
347,1715,ag_quad,20.0
348,1716,arts_quad,12.0
349,1716,eng_quad,7.0
350,1716,ag_quad,17.0
351,1717,arts_quad,12.0
352,1717,eng_quad,6.0
353,1717,ag_quad,17.0
354,1719,arts_quad,12.0
355,1719,eng_quad,6.0
356,1719,ag_quad,17.0
357,172,arts_quad,18.0
358,172,eng_quad,17.0
359,172,ag_quad,21.0
360,1721,arts_quad,18.0
361,1721,eng_quad,16.0
362,1721,ag_quad,18.0
363,1722,arts_quad,18.0
364,1722,eng_quad,16.0
365,1722,ag_quad,18.0
366,1725,arts_quad,17.0
367,1725,eng_quad,14.0
368,1725,ag_quad,17.0
369,1726,arts_quad,18.0
370,1726,eng_quad,15.0
371,1726,ag_quad,19.0
372,1746,arts_quad,19.0
373,1746,eng_quad,17.0
374,1746,ag_quad,21.0
375,1747,arts_quad,19.0
376,1747,eng_quad,17.0
377,1747,ag_quad,21.0
378,1751,arts_quad,18.0
379,1751,eng_quad,14.0
380,1751,ag_quad,14.0
381,1752,arts_quad,18.0
382,1752,eng_quad,14.0
383,1752,ag_quad,14.0
384,1753,arts_quad,23.0
385,1753,eng_quad,18.0
386,1753,ag_quad,18.0
387,1754,arts_quad,23.0
388,1754,eng_quad,18.0
389,1754,ag_quad,18.0
390,1755,arts_quad,14.0
391,1755,eng_quad,16.0
392,1755,ag_quad,13.0
393,1756,arts_quad,15.0
394,1756,eng_quad,16.0
395,1756,ag_quad,14.0
396,1757,arts_quad,14.0
397,1757,eng_quad,16.0
398,1757,ag_quad,13.0
399,1758,arts_quad,14.0
400,1758,eng_quad,15.0
401,1758,ag_quad,13.0
402,1767,arts_quad,18.0
403,1767,eng_quad,17.0
404,1767,ag_quad,17.0
405,1768,arts_quad,18.0
406,1768,eng_quad,17.0
407,1768,ag_quad,17.0
408,1769,arts_quad,20.0
409,1769,eng_quad,19.0
410,1769,ag_quad,19.0
411,1770,arts_quad,23.0
412,1770,eng_quad,21.0
413,1770,ag_quad,23.0
414,1771,arts_quad,24.0
415,1771,eng_quad,22.0
416,1771,ag_quad,24.0
417,1772,arts_quad,23.0
418,1772,eng_quad,21.0
419,1772,ag_quad,23.0
420,1774,arts_quad,20.0
421,1774,eng_quad,19.0
422,1774,ag_quad,19.0
423,2309,arts_quad,51.0
424,2309,eng_quad,49.0
425,2309,ag_quad,51.0
426,2310,arts_quad,51.0
427,2310,eng_quad,49.0
428,2310,ag_quad,51.0
429,2315,arts_quad,
430,2315,eng_quad,
431,2315,ag_quad,
432,2316,arts_quad,
433,2316,eng_quad,
434,2316,ag_quad,
435,2319,arts_quad,
436,2319,eng_quad,
437,2319,ag_quad,
438,2320,arts_quad,
439,2320,eng_quad,
440,2320,ag_quad,
441,2323,arts_quad,
442,2323,eng_quad,
443,2323,ag_quad,
444,2324,arts_quad,
445,2324,eng_quad,
446,2324,ag_quad,
447,2325,arts_quad,
448,2325,eng_quad,
449,2325,ag_quad,
450,2326,arts_quad,
451,2326,eng_quad,
452,2326,ag_quad,
453,2329,arts_quad,
454,2329,eng_quad,
455,2329,ag_quad,
456,2330,arts_quad,
457,2330,eng_quad,
458,2330,ag_quad,
459,2333,arts_quad,
460,2333,eng_quad,
461,2333,ag_quad,
462,2334,arts_quad,
463,2334,eng_quad,
464,2334,ag_quad,
465,2337,arts_quad,
466,2337,eng_quad,
467,2337,ag_quad,
468,2338,arts_quad,
469,2338,eng_quad,
470,2338,ag_quad,
471,2339,arts_quad,
472,2339,eng_quad,
473,2339,ag_quad,
474,2511,arts_quad,50.0
475,2511,eng_quad,48.0
476,2511,ag_quad,50.0
477,2514,arts_quad,50.0
478,2514,eng_quad,48.0
479,2514,ag_quad,50.0
480,2533,arts_quad,50.0
481,2533,eng_quad,48.0
482,2533,ag_quad,50.0
483,2534,arts_quad,50.0
484,2534,eng_quad,48.0
485,2534,ag_quad,50.0
486,2542,arts_quad,50.0
487,2542,eng_quad,48.0
488,2542,ag_quad,50.0
489,2543,arts_quad,50.0
490,2543,eng_quad,48.0
491,2543,ag_quad,50.0
492,2545,arts_quad,50.0
493,2545,eng_quad,48.0
494,2545,ag_quad,50.0
495,2547,arts_quad,50.0
496,2547,eng_quad,48.0
497,2547,ag_quad,50.0
498,2549,arts_quad,50.0
499,2549,eng_quad,48.0
500,2549,ag_quad,50.0
501,2550,arts_quad,50.0
502,2550,eng_quad,48.0
503,2550,ag_quad,50.0
504,2555,arts_quad,50.0
505,2555,eng_quad,48.0
506,2555,ag_quad,50.0
507,2556,arts_quad,50.0
508,2556,eng_quad,48.0
509,2556,ag_quad,50.0
510,2557,arts_quad,50.0
511,2557,eng_quad,48.0
512,2557,ag_quad,50.0
513,2559,arts_quad,50.0
514,2559,eng_quad,48.0
515,2559,ag_quad,50.0
516,2560,arts_quad,50.0
517,2560,eng_quad,48.0
518,2560,ag_quad,50.0
519,2563,arts_quad,50.0
520,2563,eng_quad,48.0
521,2563,ag_quad,50.0
522,2564,arts_quad,50.0
523,2564,eng_quad,48.0
524,2564,ag_quad,50.0
525,2567,arts_quad,50.0
526,2567,eng_quad,48.0
527,2567,ag_quad,50.0
528,2568,arts_quad,50.0
529,2568,eng_quad,48.0
530,2568,ag_quad,50.0
531,2573,arts_quad,50.0
532,2573,eng_quad,48.0
533,2573,ag_quad,50.0
534,2574,arts_quad,50.0
535,2574,eng_quad,48.0
536,2574,ag_quad,50.0
537,2577,arts_quad,50.0
538,2577,eng_quad,48.0
539,2577,ag_quad,50.0
540,2578,arts_quad,50.0
541,2578,eng_quad,48.0
542,2578,ag_quad,50.0
543,2581,arts_quad,50.0
544,2581,eng_quad,48.0
545,2581,ag_quad,50.0
546,2582,arts_quad,50.0
547,2582,eng_quad,48.0
548,2582,ag_quad,50.0
549,2583,arts_quad,50.0
550,2583,eng_quad,48.0
551,2583,ag_quad,50.0
552,2584,arts_quad,50.0
553,2584,eng_quad,48.0
554,2584,ag_quad,50.0
555,2611,arts_quad,50.0
556,2611,eng_quad,48.0
557,2611,ag_quad,50.0
558,2612,arts_quad,50.0
559,2612,eng_quad,48.0
560,2612,ag_quad,50.0
561,2615,arts_quad,50.0
562,2615,eng_quad,48.0
563,2615,ag_quad,50.0
564,2616,arts_quad,50.0
565,2616,eng_quad,48.0
566,2616,ag_quad,50.0
567,2619,arts_quad,50.0
568,2619,eng_quad,48.0
569,2619,ag_quad,50.0
570,2620,arts_quad,50.0
571,2620,eng_quad,48.0
572,2620,ag_quad,50.0
573,2623,arts_quad,50.0
574,2623,eng_quad,48.0
575,2623,ag_quad,50.0
576,2624,arts_quad,50.0
577,2624,eng_quad,48.0
578,2624,ag_quad,50.0
579,2627,arts_quad,50.0
580,2627,eng_quad,48.0
581,2627,ag_quad,50.0
582,2628,arts_quad,50.0
583,2628,eng_quad,48.0
584,2628,ag_quad,50.0
585,2631,arts_quad,50.0
586,2631,eng_quad,48.0
587,2631,ag_quad,50.0
588,2641,arts_quad,
589,2641,eng_quad,
590,2641,ag_quad,
591,2669,arts_quad,50.0
592,2669,eng_quad,48.0
593,2669,ag_quad,50.0
594,2670,arts_quad,50.0
595,2670,eng_quad,48.0
596,2670,ag_quad,50.0
597,2671,arts_quad,50.0
598,2671,eng_quad,48.0
599,2671,ag_quad,50.0
600,3111,arts_quad,44.0
601,3111,eng_quad,46.0
602,3111,ag_quad,51.0
603,3112,arts_quad,44.0
604,3112,eng_quad,46.0
605,3112,ag_quad,51.0
606,3115,arts_quad,44.0
607,3115,eng_quad,46.0
608,3115,ag_quad,51.0
609,3116,arts_quad,44.0
610,3116,eng_quad,46.0
611,3116,ag_quad,51.0
612,3119,arts_quad,44.0
613,3119,eng_quad,46.0
614,3119,ag_quad,51.0
615,3120,arts_quad,44.0
616,3120,eng_quad,46.0
617,3120,ag_quad,51.0
618,3129,arts_quad,44.0
619,3129,eng_quad,46.0
620,3129,ag_quad,51.0
621,313,arts_quad,24.0
622,313,eng_quad,22.0
623,313,ag_quad,27.0
624,3130,arts_quad,44.0
625,3130,eng_quad,46.0
626,3130,ag_quad,51.0
627,3137,arts_quad,44.0
628,3137,eng_quad,46.0
629,3137,ag_quad,51.0
630,3139,arts_quad,44.0
631,3139,eng_quad,46.0
632,3139,ag_quad,51.0
633,314,arts_quad,24.0
634,314,eng_quad,22.0
635,314,ag_quad,27.0
636,3140,arts_quad,44.0
637,3140,eng_quad,46.0
638,3140,ag_quad,51.0
639,3141,arts_quad,44.0
640,3141,eng_quad,46.0
641,3141,ag_quad,51.0
642,3142,arts_quad,44.0
643,3142,eng_quad,46.0
644,3142,ag_quad,51.0
645,3149,arts_quad,
646,3149,eng_quad,
647,3149,ag_quad,
648,3150,arts_quad,
649,3150,eng_quad,
650,3150,ag_quad,
651,3154,arts_quad,
652,3154,eng_quad,
653,3154,ag_quad,
654,317,arts_quad,28.0
655,317,eng_quad,30.0
656,317,ag_quad,35.0
657,318,arts_quad,28.0
658,318,eng_quad,30.0
659,318,ag_quad,35.0
660,323,arts_quad,36.0
661,323,eng_quad,34.0
662,323,ag_quad,41.0
663,324,arts_quad,37.0
664,324,eng_quad,35.0
665,324,ag_quad,42.0
666,327,arts_quad,39.0
667,327,eng_quad,36.0
668,327,ag_quad,43.0
669,328,arts_quad,38.0
670,328,eng_quad,36.0
671,328,ag_quad,43.0
672,329,arts_quad,42.0
673,329,eng_quad,39.0
674,329,ag_quad,45.0
675,330,arts_quad,42.0
676,330,eng_quad,39.0
677,330,ag_quad,45.0
678,3305,arts_quad,119.0
679,3305,eng_quad,
680,3305,ag_quad,
681,3306,arts_quad,119.0
682,3306,eng_quad,
683,3306,ag_quad,
684,3309,arts_quad,44.0
685,3309,eng_quad,46.0
686,3309,ag_quad,51.0
687,3310,arts_quad,44.0
688,3310,eng_quad,46.0
689,3310,ag_quad,51.0
690,3312,arts_quad,44.0
691,3312,eng_quad,46.0
692,3312,ag_quad,51.0
693,3313,arts_quad,44.0
694,3313,eng_quad,46.0
695,3313,ag_quad,51.0
696,3314,arts_quad,44.0
697,3314,eng_quad,46.0
698,3314,ag_quad,51.0
699,3315,arts_quad,44.0
700,3315,eng_quad,46.0
701,3315,ag_quad,51.0
702,3316,arts_quad,44.0
703,3316,eng_quad,46.0
704,3316,ag_quad,51.0
705,337,arts_quad,48.0
706,337,eng_quad,45.0
707,337,ag_quad,48.0
708,338,arts_quad,48.0
709,338,eng_quad,45.0
710,338,ag_quad,48.0
711,339,arts_quad,50.0
712,339,eng_quad,48.0
713,339,ag_quad,50.0
714,340,arts_quad,50.0
715,340,eng_quad,48.0
716,340,ag_quad,50.0
717,341,arts_quad,50.0
718,341,eng_quad,48.0
719,341,ag_quad,50.0
720,342,arts_quad,50.0
721,342,eng_quad,48.0
722,342,ag_quad,50.0
723,343,arts_quad,50.0
724,343,eng_quad,48.0
725,343,ag_quad,50.0
726,348,arts_quad,50.0
727,348,eng_quad,48.0
728,348,ag_quad,50.0
729,349,arts_quad,50.0
730,349,eng_quad,48.0
731,349,ag_quad,50.0
732,351,arts_quad,50.0
733,351,eng_quad,48.0
734,351,ag_quad,50.0
735,3511,arts_quad,26.0
736,3511,eng_quad,28.0
737,3511,ag_quad,33.0
738,3512,arts_quad,27.0
739,3512,eng_quad,29.0
740,3512,ag_quad,34.0
741,3515,arts_quad,17.0
742,3515,eng_quad,19.0
743,3515,ag_quad,24.0
744,3516,arts_quad,16.0
745,3516,eng_quad,18.0
746,3516,ag_quad,23.0
747,352,arts_quad,50.0
748,352,eng_quad,48.0
749,352,ag_quad,50.0
750,3521,arts_quad,17.0
751,3521,eng_quad,19.0
752,3521,ag_quad,24.0
753,3522,arts_quad,17.0
754,3522,eng_quad,19.0
755,3522,ag_quad,24.0
756,3523,arts_quad,25.0
757,3523,eng_quad,27.0
758,3523,ag_quad,32.0
759,3524,arts_quad,25.0
760,3524,eng_quad,27.0
761,3524,ag_quad,32.0
762,3525,arts_quad,18.0
